order_id,customer_id,product_id,quantity,order_date,price,total_amount
O1001,101,P101,1,2026-09-01,55000,55000
O1002,102,P103,2,2026-09-01,1500,3000
O1003,103,P105,1,2026-09-02,2500,2500
O1004,101,P102,2,2026-09-02,800,1600
O1005,104,P104,1,2026-09-03,12000,12000
O1006,105,P107,3,2026-09-03,500,1500
O1007,106,P106,1,2026-09-04,3500,3500
O1008,107,P108,1,2026-09-04,7000,7000
O1009,108,P101,1,2026-09-05,55000,55000
O1010,109,P105,2,2026-09-05,2500,5000
O1011,110,P102,1,2026-09-06,800,800
O1012,103,P103,1,2026-09-06,1500,1500
O1013,102,P107,4,2026-09-07,500,2000
O1014,104,P106,2,2026-09-07,3500,7000
O1015,101,P104,1,2026-09-08,12000,12000
